date,day,direction,gap_pct,entry_time,nifty_entry,nifty_exit,option_type,sold_strike,bought_strike,spread_width,sold_entry_prem,bought_entry_prem,sold_iv_entry,bought_iv_entry,sold_exit_prem,bought_exit_prem,net_credit,net_credit_rs,max_risk_rs,exit_type,exit_time,gross_pl_rs,cost_rs,net_pl_rs,net_pl_pct,prices_source,status,notes
2026-03-10,Tuesday,Bullish,2.038,14:40,24234.4,24258.3,PE,24250.0,24050.0,200.0,37.0,1.3,0.0,0.0,2.7,0.1,35.7,2320.5,10679.5,TP,15:08,2151.5,120.54,2030.96,19.02,market_data_full,completed,29 checks
2026-03-17,Tuesday,Bullish,0.226,13:45,23544.35,23594.85,PE,23550.0,23350.0,200.0,52.1,4.65,0.0,0.0,14.75,0.8,47.45,3084.25,9915.75,TP,14:35,2177.5,133.13,2044.37,20.62,market_data_full,completed,50 checks
2026-03-24,Tuesday,Bearish,-1.932,13:45,23031.55,22941.7,CE,23050.0,23250.0,200.0,54.7,7.0,0.0,0.0,14.7,1.95,47.7,3100.5,9899.5,TP,14:20,2271.75,136.51,2135.24,21.57,market_data_full,completed,36 checks
2026-04-07,Tuesday,Bullish,0.059,13:56,23008.55,23063.75,PE,23000.0,22800.0,200.0,40.05,2.65,0.0,0.0,4.7,0.45,37.4,2431.0,10569.0,TP,14:50,2154.75,123.54,2031.21,19.22,market_data_full,completed,54 checks
2026-04-14,Tuesday,Bullish,0.891,,23842.65,,,,,,,,,,,,,,,,,,,,,token_not_found,no_option_tokens,
2026-04-14,Tuesday,Bullish,0.891,,23842.65,,,,,,,,,,,,,,,,,,,,,token_not_found,no_option_tokens,
2026-04-14,Tuesday,Bullish,0.891,,23842.65,,,,,,,,,,,,,,,,,,,,,token_not_found,no_option_tokens,
2026-04-21,Tuesday,Bullish,0.37,14:06,24535.85,24572.0,PE,24550.0,24350.0,200.0,33.6,1.15,0.0,0.0,0.1,0.1,32.45,2109.25,10890.75,Time Exit,15:15,2109.25,118.12,1991.13,18.28,market_data_full,completed,68 checks
2026-04-28,Tuesday,Bearish,-0.065,14:20,23992.2,23969.9,CE,24000.0,23800.0,200.0,18.7,191.6,0.0,0.0,0.2,176.0,-172.9,-11238.5,24238.5,Time Exit,15:15,-11238.5,237.93,-11476.43,-47.35,market_data_full,completed,55 checks
2026-05-05,Tuesday,Bullish,0.097,,24015.55,,,,,,,,,,,,,,,,,,,,,fallback_token_not_found,fallback_failed,
2026-05-05,Tuesday,Bullish,0.097,14:19,24028.45,24047.15,PE,24050.0,23850.0,200.0,30.5,0.5,0.0,0.0,20.65,0.1,30.0,1950.0,11050.0,Time Exit,15:15,614.25,115.56,498.69,4.51,market_data_full,completed,56 checks
2026-05-12,Tuesday,Bearish,-1.24,14:28,23467.0,23383.45,CE,23450.0,23650.0,200.0,34.4,0.95,0.0,0.0,0.4,0.3,33.45,2174.25,10825.75,TP,15:03,2167.75,118.53,2049.22,18.93,market_data_full,completed,36 checks
2026-05-19,Tuesday,Bullish,0.257,14:39,23686.05,23625.55,PE,23700.0,23500.0,200.0,22.25,0.55,0.0,0.0,75.0,0.15,21.7,1410.5,11589.5,Time Exit,15:15,-3454.75,109.96,-3564.71,-30.76,market_data_full,completed,36 checks
2026-05-26,Tuesday,Bearish,-0.116,14:40,23904.65,23911.3,CE,23900.0,23700.0,200.0,19.85,203.4,0.0,0.0,12.1,211.85,-183.55,-11930.75,24930.75,Time Exit,15:15,-11930.75,246.77,-12177.52,-48.85,market_data_full,completed,36 checks
2026-06-02,Tuesday,Bullish,0.779,14:57,23458.2,23492.05,PE,23450.0,23250.0,200.0,7.15,0.2,0.0,0.0,0.05,0.1,6.95,451.75,12548.25,Time Exit,15:15,451.75,99.42,352.33,2.81,market_data_full,completed,19 checks
2026-06-09,Tuesday,Bearish,-0.109,14:38,23220.65,23238.0,CE,23200.0,23400.0,200.0,35.35,0.55,0.0,0.0,43.1,0.05,34.8,2262.0,10738.0,Time Exit,15:15,-536.25,118.9,-655.15,-6.1,market_data_full,completed,37 checks
2026-06-16,Tuesday,Bullish,1.248,,23984.3,,,,,,,,,,,,,,,,,,,,,fallback_token_not_found,fallback_failed,
2026-06-16,Tuesday,Bullish,1.248,15:25,23987.0,23986.05,PE,24000.0,23800.0,200.0,10.9,0.1,0.0,0.0,10.95,0.1,10.8,702.0,12298.0,Time Exit,15:25,-3.25,101.91,-105.16,-0.86,market_data_full,completed,0 checks
2026-06-23,Tuesday,Bearish,-1.21,14:37,23912.15,23826.3,CE,23900.0,23700.0,200.0,22.1,206.95,0.0,0.0,0.1,133.7,-184.85,-12015.25,25015.25,Time Exit,15:15,-12015.25,250.73,-12265.98,-49.03,market_data_full,completed,38 checks
2026-06-30,Tuesday,Bullish,0.765,14:37,23942.15,23866.25,PE,23950.0,23750.0,200.0,24.65,0.75,0.0,0.0,83.65,0.2,23.9,1553.5,11446.5,Time Exit,15:15,-3870.75,111.74,-3982.49,-34.79,market_data_full,completed,38 checks
2026-07-07,Tuesday,Bearish,-0.184,14:36,24462.4,24401.1,CE,24450.0,24250.0,200.0,22.2,213.6,0.0,0.0,0.15,157.35,-191.4,-12441.0,25441.0,Time Exit,15:15,-12441.0,255.33,-12696.33,-49.9,market_data_full,completed,39 checks
